E,log10E,Ta_c_data,k_c_data,Ta_c_dist,k_c_dist,Ta_c_cnp,k_c_cnp,err_Ta_dist,err_Ta_cnp,err_k_dist,err_k_cnp
0.0065,-2.1870866433571443,151.3505,4.6,153.361572265625,4.564399719238281,152.84329223632812,4.457200050354004,2.011072265624989,1.492792236328114,-0.035600280761718395,-0.14279994964599574
0.0066,-2.1804560644581312,151.097,4.5,152.36892700195312,9.831999778747559,152.05294799804688,9.583999633789062,1.2719270019531166,0.9559479980468666,5.331999778747559,5.0839996337890625
0.0067,-2.1739251972991736,149.3567,9.7,150.2006378173828,9.831999778747559,149.84466552734375,9.583999633789062,0.8439378173828231,0.48796552734376064,0.1319997787475593,-0.11600036621093679
0.0068,-2.167491087293764,148.2751,9.7,149.2210235595703,9.75,148.79696655273438,9.75,0.9459235595703035,0.521866552734366,0.05000000000000071,0.05000000000000071
0.0069,-2.161150909262745,147.2074,9.6,151.48362731933594,9.663999557495117,150.23001098632812,9.739999771118164,4.276227319335931,3.022610986328118,0.06399955749511754,0.13999977111816442
0.007,-2.154901959985743,146.1565,9.6,149.4251708984375,10.196000099182129,148.7455291748047,10.196000099182129,3.268670898437506,2.5890291748046934,0.5960000991821293,0.5960000991821293
0.0071,-2.1487416512809245,145.1238,9.6,148.46043395996094,10.119999885559082,147.6212921142578,9.359999656677246,3.336633959960949,2.497492114257824,0.5199998855590824,-0.24000034332275355
0.0074,-2.1307682802690238,141.8222,9.6,145.38418579101562,10.196000099182129,144.47486877441406,9.359999656677246,3.5619857910156156,2.652668774414053,0.5960000991821293,-0.24000034332275355
0.0076,-2.1191864077192086,139.7771,9.6,143.20675659179688,10.196000099182129,142.8150634765625,10.196000099182129,3.429656591796885,3.03796347656251,0.5960000991821293,0.5960000991821293
0.0077,-2.113509274827518,138.7142,9.6,142.2115478515625,10.196000099182129,141.94053649902344,10.272000312805176,3.4973478515624947,3.2263364990234322,0.5960000991821293,0.6720003128051761
0.008,-2.0969100130080562,135.7992,9.6,140.1223602294922,9.895999908447266,139.6126708984375,9.831999778747559,4.323160229492174,3.8134708984374868,0.295999908447266,0.23199977874755895
0.0081,-2.0915149811213505,134.4992,9.6,139.222900390625,9.887200355529785,138.00201416015625,9.887200355529785,4.723700390624998,3.502814160156248,0.2872003555297855,0.2872003555297855
0.0083,-2.0809219076239263,133.0721,9.6,140.18728637695312,10.088000297546387,137.57223510742188,9.128000259399414,7.115186376953119,4.500135107421869,0.4880002975463871,-0.4719997406005856
0.0086,-2.065501548756432,130.5149,9.6,131.24908447265625,9.456399917602539,130.99725341796875,9.650400161743164,0.7341844726562385,0.48235341796873854,-0.14360008239746058,0.05040016174316442
0.0087,-2.0604807473813813,129.8109,9.6,130.613525390625,9.435199737548828,130.26455688476562,9.51200008392334,0.8026253906249963,0.45365688476562127,-0.16480026245117152,-0.0879999160766598
0.0089,-2.050609993355087,128.0901,9.5,129.17410278320312,9.6343994140625,128.5645751953125,9.47599983215332,1.0840027832031183,0.47447519531249327,0.1343994140625,-0.024000167846679688
0.0092,-2.036212172654445,125.7582,9.5,127.13566589355469,9.95680046081543,126.80945587158203,9.811200141906738,1.3774658935546853,1.051255871582029,0.4568004608154297,0.3112001419067383
0.0095,-2.0222763947111524,123.492,9.5,125.94120025634766,9.913999557495117,124.61835479736328,9.569600105285645,2.449200256347652,1.1263547973632768,0.4139995574951172,0.06960010528564453
0.0097,-2.0132282657337552,121.2745,9.5,122.351806640625,9.864799499511719,121.8520736694336,9.569600105285645,1.0773066406249967,0.5775736694335905,0.36479949951171875,0.06960010528564453
0.01,-2.0,119.1002,9.5,119.9346694946289,9.81559944152832,119.570068359375,9.569600105285645,0.8344694946289053,0.46986835937499905,0.3155994415283203,0.06960010528564453
0.0103,-1.9871627752948278,116.9699,9.5,117.74580383300781,9.37279987335205,117.43949127197266,9.569600105285645,0.775903833007817,0.4695912719726607,-0.12720012664794922,0.06960010528564453
0.0106,-1.9746941347352298,114.8872,9.5,115.75562286376953,9.508000373840332,115.40815734863281,9.654399871826172,0.8684228637695242,0.5209573486328054,0.008000373840332031,0.15439987182617188
0.0108,-1.9665762445130504,113.7522,9.5,115.05554962158203,9.996000289916992,114.35399627685547,9.654399871826172,1.3033496215820293,0.6017962768554668,0.4960002899169922,0.15439987182617188
0.0109,-1.9625735020593764,112.8562,9.5,114.1953353881836,9.947199821472168,113.45921325683594,9.654399871826172,1.3391353881835926,0.6030132568359363,0.44719982147216797,0.15439987182617188
0.0112,-1.9507819773298183,110.8813,9.5,111.97539520263672,9.545599937438965,111.39234924316406,9.593999862670898,1.0940952026367228,0.5110492431640665,0.045599937438964844,0.09399986267089844
0.0113,-1.9469215565165803,110.1599,9.5,111.20222473144531,9.497200012207031,110.64118957519531,9.593999862670898,1.0423247314453192,0.48128957519531923,-0.00279998779296875,0.09399986267089844
0.0115,-1.9393021596463884,108.9665,9.5,109.98310852050781,9.448800086975098,109.40187072753906,9.593999862670898,1.0166085205078161,0.43537072753906614,-0.051199913024902344,0.09399986267089844
0.0118,-1.9281179926938745,107.1094,9.6,107.79364776611328,9.631999969482422,107.53350067138672,9.680000305175781,0.6842477661132875,0.424100671386725,0.03199996948242223,0.0800003051757816
0.0119,-1.9244530386074692,106.7607,9.6,107.39035034179688,9.631999969482422,107.20368194580078,9.680000305175781,0.6296503417968751,0.4429819458007813,0.03199996948242223,0.0800003051757816
0.0121,-1.91721462968355,105.3043,9.6,105.85545349121094,9.718400001525879,105.80917358398438,9.766000747680664,0.5511534912109397,0.5048735839843772,0.11840000152587926,0.16600074768066442
0.0124,-1.9065783148377649,103.5658,9.6,108.0269546508789,9.892000198364258,106.8516845703125,9.588000297546387,4.46115465087891,3.285884570312504,0.29200019836425817,-0.011999702453612926
0.0127,-1.8961962790440432,101.88,9.7,105.33230590820312,9.892000198364258,104.44685363769531,10.196000099182129,3.4523059082031295,2.566853637695317,0.19200019836425852,0.4960000991821296
0.0129,-1.889410289700751,100.71,9.7,104.12700653076172,9.892000198364258,103.29137420654297,10.119999885559082,3.417006530761725,2.581374206542975,0.19200019836425852,0.41999988555908274
0.013,-1.8860566476931633,100.2518,9.7,103.70523834228516,9.815999984741211,102.83917236328125,10.119999885559082,3.4534383422851533,2.587372363281247,0.11599998474121165,0.41999988555908274
