Value,Time,E
264.1023,10.9,0.0006
266.1201,11.0,0.0006
268.1475,11.1,0.0006
270.1844,11.2,0.0006
272.2306,11.3,0.0006
274.286,11.4,0.0006
276.3506,11.5,0.0006
278.4241,11.6,0.0006
280.5066,11.7,0.0006
282.598,11.8,0.0006
284.6981,11.9,0.0006
286.8068,12.0,0.0006
288.9242,12.1,0.0006
291.05,12.2,0.0006
293.1843,12.3,0.0006
295.327,12.4,0.0006
297.4781,12.5,0.0006
299.6373,12.6,0.0006
301.8048,12.7,0.0006
303.9804,12.8,0.0006
306.1642,12.9,0.0006
308.356,13.0,0.0006
310.5558,13.1,0.0006
312.7636,13.2,0.0006
314.9793,13.3,0.0006
317.2029,13.4,0.0006
319.4344,13.5,0.0006
321.6738,13.6,0.0006
323.9209,13.7,0.0006
326.1759,13.8,0.0006
328.4387,13.9,0.0006
330.7093,14.0,0.0006
332.9877,14.1,0.0006
335.2738,14.2,0.0006
337.5677,14.3,0.0006
339.8694,14.4,0.0006
342.1789,14.5,0.0006
344.4962,14.6,0.0006
346.8213,14.7,0.0006
349.1542,14.8,0.0006
351.4951,14.9,0.0006
353.8438,15.0,0.0006
356.2005,15.1,0.0006
358.5652,15.2,0.0006
360.938,15.3,0.0006
363.3188,15.4,0.0006
365.7078,15.5,0.0006
368.1051,15.6,0.0006
370.5107,15.7,0.0006
372.9247,15.8,0.0006
375.3472,15.9,0.0006
377.7783,16.0,0.0006
380.2181,16.1,0.0006
382.6667,16.2,0.0006
385.1243,16.3,0.0006
387.5911,16.4,0.0006
390.0671,16.5,0.0006
392.5525,16.6,0.0006
395.0475,16.7,0.0006
397.5524,16.8,0.0006
400.0672,16.9,0.0006
402.5923,17.0,0.0006
405.1278,17.1,0.0006
407.6741,17.2,0.0006
410.2313,17.3,0.0006
412.7999,17.4,0.0006
415.3801,17.5,0.0006
417.9722,17.6,0.0006
420.5767,17.7,0.0006
423.1939,17.8,0.0006
425.8243,17.9,0.0006
428.4683,18.0,0.0006
431.1265,18.1,0.0006
433.7994,18.2,0.0006
436.4876,18.3,0.0006
439.1918,18.4,0.0006
441.9127,18.5,0.0006
444.651,18.6,0.0006
447.4078,18.7,0.0006
450.1838,18.8,0.0006
452.9803,18.9,0.0006
455.7983,19.0,0.0006
458.6392,19.1,0.0006
461.5044,19.2,0.0006
464.3956,19.3,0.0006
467.3148,19.4,0.0006
470.2639,19.5,0.0006
473.2454,19.6,0.0006
476.2622,19.7,0.0006
479.3175,19.8,0.0006
482.4151,19.9,0.0006
485.5594,20.0,0.0006
538.3444,1.0,0.0007
491.4908,1.1,0.0007
452.65,1.2,0.0007
419.9779,1.3,0.0007
392.1575,1.4,0.0007
368.2234,1.5,0.0007
347.4516,1.6,0.0007
329.2887,1.7,0.0007
313.3041,1.8,0.0007
299.1584,1.9,0.0007
286.5799,2.0,0.0007
275.3486,2.1,0.0007
265.2848,2.2,0.0007
256.24,2.3,0.0007
248.0903,2.4,0.0007
240.7318,2.5,0.0007
234.0766,2.6,0.0007
228.0497,2.7,0.0007
222.5869,2.8,0.0007
217.6327,2.9,0.0007
213.1392,3.0,0.0007
209.0646,3.1,0.0007
205.372,3.2,0.0007
202.0294,3.3,0.0007
199.0082,3.4,0.0007
196.2832,3.5,0.0007
193.832,3.6,0.0007
191.6343,3.7,0.0007
189.6723,3.8,0.0007
187.9297,3.9,0.0007
186.3918,4.0,0.0007
185.0455,4.1,0.0007
183.8787,4.2,0.0007
182.8803,4.3,0.0007
182.0404,4.4,0.0007
181.3498,4.5,0.0007
180.7998,4.6,0.0007
180.3828,4.7,0.0007
180.0914,4.8,0.0007
179.9189,4.9,0.0007
179.8589,5.0,0.0007
179.9057,5.1,0.0007
180.0536,5.2,0.0007
180.2975,5.3,0.0007
180.6324,5.4,0.0007
181.0538,5.5,0.0007
181.5571,5.6,0.0007
182.1384,5.7,0.0007
182.7935,5.8,0.0007
183.5187,5.9,0.0007
184.3104,6.0,0.0007
185.1652,6.1,0.0007
186.0798,6.2,0.0007
187.0511,6.3,0.0007
188.0761,6.4,0.0007
189.1519,6.5,0.0007
190.276,6.6,0.0007
191.4457,6.7,0.0007
192.6585,6.8,0.0007
193.9122,6.9,0.0007
195.2046,7.0,0.0007
196.5337,7.1,0.0007
197.8974,7.2,0.0007
199.2939,7.3,0.0007
200.7216,7.4,0.0007
202.1787,7.5,0.0007
203.6638,7.6,0.0007
205.1755,7.7,0.0007
206.7124,7.8,0.0007
208.2732,7.9,0.0007
209.8568,8.0,0.0007
211.4622,8.1,0.0007
213.0883,8.2,0.0007
214.7341,8.3,0.0007
216.399,8.4,0.0007
218.0819,8.5,0.0007
219.7822,8.6,0.0007
221.4992,8.7,0.0007
223.2323,8.8,0.0007
224.9808,8.9,0.0007
226.7443,9.0,0.0007
228.5222,9.1,0.0007
230.314,9.2,0.0007
232.1193,9.3,0.0007
233.9378,9.4,0.0007
235.7689,9.5,0.0007
237.6125,9.6,0.0007
239.4682,9.7,0.0007
241.3356,9.8,0.0007
243.2146,9.9,0.0007
245.1048,10.0,0.0007
247.006,10.1,0.0007
248.918,10.2,0.0007
250.8407,10.3,0.0007
252.7737,10.4,0.0007
254.717,10.5,0.0007
256.6703,10.6,0.0007
258.6336,10.7,0.0007
260.6067,10.8,0.0007
262.5893,10.9,0.0007
264.5815,11.0,0.0007
266.5831,11.1,0.0007
268.594,11.2,0.0007
270.6141,11.3,0.0007
272.6432,11.4,0.0007
274.6814,11.5,0.0007
276.7285,11.6,0.0007
278.7844,11.7,0.0007
280.8492,11.8,0.0007
282.9226,11.9,0.0007
285.0046,12.0,0.0007
287.0953,12.1,0.0007
289.1945,12.2,0.0007
291.3022,12.3,0.0007
293.4183,12.4,0.0007
295.5429,12.5,0.0007
297.6758,12.6,0.0007
299.8171,12.7,0.0007
301.9667,12.8,0.0007
304.1246,12.9,0.0007
306.2907,13.0,0.0007
308.4652,13.1,0.0007
310.6479,13.2,0.0007
312.839,13.3,0.0007
315.0382,13.4,0.0007
317.2458,13.5,0.0007
319.4617,13.6,0.0007
321.6858,13.7,0.0007
323.9184,13.8,0.0007
326.1593,13.9,0.0007
328.4086,14.0,0.0007
330.6664,14.1,0.0007
332.9327,14.2,0.0007
335.2076,14.3,0.0007
337.4911,14.4,0.0007
339.7833,14.5,0.0007
342.0844,14.6,0.0007
344.3943,14.7,0.0007
346.7132,14.8,0.0007
349.0412,14.9,0.0007
351.3785,15.0,0.0007
353.7251,15.1,0.0007
356.0813,15.2,0.0007
358.4471,15.3,0.0007
360.8227,15.4,0.0007
363.2084,15.5,0.0007
365.6044,15.6,0.0007
368.0108,15.7,0.0007
370.4279,15.8,0.0007
372.8559,15.9,0.0007
375.2952,16.0,0.0007
377.7461,16.1,0.0007
380.2088,16.2,0.0007
382.6838,16.3,0.0007
385.1714,16.4,0.0007
387.6721,16.5,0.0007
390.1863,16.6,0.0007
392.7145,16.7,0.0007
395.2572,16.8,0.0007
397.8152,16.9,0.0007
400.3889,17.0,0.0007
402.9792,17.1,0.0007
405.5869,17.2,0.0007
408.2127,17.3,0.0007
410.8578,17.4,0.0007
413.523,17.5,0.0007
416.2098,17.6,0.0007
418.9193,17.7,0.0007
421.653,17.8,0.0007
424.4128,17.9,0.0007
427.2004,18.0,0.0007
430.0181,18.1,0.0007
432.8683,18.2,0.0007
435.7539,18.3,0.0007
438.6785,18.4,0.0007
441.6457,18.5,0.0007
444.6603,18.6,0.0007
447.728,18.7,0.0007
450.8552,18.8,0.0007
454.0505,18.9,0.0007
457.3241,19.0,0.0007
460.6889,19.1,0.0007
464.1618,19.2,0.0007
467.7648,19.3,0.0007
471.5278,19.4,0.0007
475.4933,19.5,0.0007
479.7222,19.6,0.0007
484.3098,19.7,0.0007
489.4089,19.8,0.0007
495.2917,19.9,0.0007
502.4883,20.0,0.0007
535.8141,1.0,0.0008
489.1845,1.1,0.0008
450.5296,1.2,0.0008
418.0143,1.3,0.0008
390.3277,1.4,0.0008
366.5091,1.5,0.0008
345.8377,1.6,0.0008
327.7628,1.7,0.0008
311.8561,1.8,0.0008
297.7796,1.9,0.0008
285.2627,2.0,0.0008
274.0868,2.1,0.0008
264.0729,2.2,0.0008
255.0731,2.3,0.0008
246.9642,2.4,0.0008
239.6429,2.5,0.0008
233.0215,2.6,0.0008
227.0254,2.7,0.0008
221.5908,2.8,0.0008
216.6626,2.9,0.0008
212.1928,3.0,0.0008
208.1398,3.1,0.0008
204.4673,3.2,0.0008
201.143,3.3,0.0008
198.1387,3.4,0.0008
195.4292,3.5,0.0008
192.9921,3.6,0.0008
190.8076,3.7,0.0008
188.8575,3.8,0.0008
187.1259,3.9,0.0008
185.5981,4.0,0.0008
184.2609,4.1,0.0008
183.1024,4.2,0.0008
182.1116,4.3,0.0008
181.2785,4.4,0.0008
180.594,4.5,0.0008
180.0495,4.6,0.0008
179.6374,4.7,0.0008
179.3502,4.8,0.0008
179.1813,4.9,0.0008
179.1245,5.0,0.0008
179.1738,5.1,0.0008
179.3237,5.2,0.0008
179.5691,5.3,0.0008
179.905,5.4,0.0008
180.3268,5.5,0.0008
180.8302,5.6,0.0008
181.4109,5.7,0.0008
