method,E,Ta_c_true,k_c_true,Ta_c_pred,k_c_pred,curve_MAPE,covered_frac,err_Ta_c_pct,err_k_c
Branch-interp,0.0629,39.591899999999995,8.1,38.94653789473684,8.1,2.1066899143057563,0.3890020366598778,1.6300357024117362,0.0
PCHIP-1D,0.0629,39.591899999999995,8.1,39.56829688311843,8.1,,,0.05961602469587435,0.0
PCHIP-2D,0.0714,35.88810000000001,8.2,35.90868014068811,8.2,0.39957653869692317,1.0,0.05734530579246666,0.0
Branch-interp,0.0714,35.88810000000001,8.2,35.94257524208973,8.2,0.5403991289923861,0.3890020366598778,0.1517919368529519,0.0
PCHIP-1D,0.0714,35.88810000000001,8.2,35.90646036181859,8.154391403521407,,,0.05116002747032056,0.04560859647859239
PCHIP-2D,0.0914,30.8016,6.0,30.814121894613212,6.0,0.11993678046524514,1.0,0.040653390126532685,0.0
Branch-interp,0.0914,30.8016,6.0,30.831764772301316,6.0,0.23797909512703067,0.3890020366598778,0.09793248500504781,0.0
PCHIP-1D,0.0914,30.8016,6.0,30.81418935673722,6.053287520505211,,,0.04087241161894184,0.05328752050521057
PCHIP-2D,0.1,29.227400000000003,6.4,29.42499474904417,6.4,0.5977944635428841,1.0,0.6760599610097673,0.0
Branch-interp,0.1,29.227400000000003,6.4,29.407773309542076,6.5,1.12182379822018,0.3890020366598778,0.6171377185178128,0.09999999999999964
PCHIP-1D,0.1,29.227400000000003,6.4,29.201641658452814,6.644077267550424,,,0.08813080036947918,0.24407726755042347
PCHIP-2D,0.1041,28.808500000000002,6.6,29.393118986650993,7.1,1.8186535507435133,1.0,2.0293281033409993,0.5
Branch-interp,0.1041,28.808500000000002,6.6,29.350343436714116,6.7,2.906734260837774,0.3890020366598778,1.8808457112106325,0.10000000000000053
PCHIP-1D,0.1041,28.808500000000002,6.6,28.489919711709195,8.321339002553483,,,1.1058551756974788,1.7213390025534832
PCHIP-2D,0.1082,28.3133,15.6,28.801955931974216,15.5,2.4321216409031914,1.0,1.725888299753886,0.09999999999999964
Branch-interp,0.1082,28.3133,15.6,29.279390246011477,7.1,3.7188542728130587,0.3890020366598778,3.412142865760881,8.5
PCHIP-1D,0.1082,28.3133,15.6,27.773605257270034,10.724697076126366,,,1.90615273645236,4.875302923873633
PCHIP-2D,0.149,27.778500000000005,16.3,27.70292561934139,16.2,0.746447984097773,1.0,0.27206069679289735,0.10000000000000142
Branch-interp,0.149,27.778500000000005,16.3,28.010094487896176,16.4,1.287360996232439,0.3890020366598778,0.8337184797457375,0.09999999999999787
PCHIP-1D,0.149,27.778500000000005,16.3,27.78886077427989,16.362997496383098,,,0.03729781766432794,0.06299749638309748
PCHIP-2D,0.1857,28.782,16.3,28.7889106207928,16.4,0.4062075053109022,1.0,0.024010217472025808,0.09999999999999787
Branch-interp,0.1857,28.782,16.3,28.869819418344218,16.2,0.2064207981519325,0.3890020366598778,0.305119235439566,0.10000000000000142
PCHIP-1D,0.1857,28.782,16.3,28.781624620443296,16.239777557601894,,,0.0013042163737875256,0.060222442398107034
PCHIP-2D,0.2388,26.951800000000006,16.5,26.953254554011185,16.6,0.0061890934260803426,1.0,0.005396871493479338,0.10000000000000142
Branch-interp,0.2388,26.951800000000006,16.5,26.961848688954742,16.6,0.05860575924860889,0.3890020366598778,0.037283925209963265,0.10000000000000142
PCHIP-1D,0.2388,26.951800000000006,16.5,26.951650522203686,16.563218060756444,,,0.0005546115521837258,0.06321806075644432
PCHIP-2D,0.3003,27.375200000000003,14.2,27.359291075972752,14.3,0.03173816914579476,1.0,0.05811436638728518,0.10000000000000142
Branch-interp,0.3003,27.375200000000003,14.2,27.383594202500614,14.2,0.05644976123730746,1.0,0.03066352940110928,0.0
PCHIP-1D,0.3003,27.375200000000003,14.2,27.371316753390655,14.166804884676079,,,0.014185272105216029,0.03319511532392028
PCHIP-2D,0.3087,27.2404,14.8,27.315710589953532,14.9,0.1509754729032207,1.0,0.2764665348288897,0.09999999999999964
Branch-interp,0.3087,27.2404,14.8,27.34090651346447,14.7,0.2702104437030693,1.0,0.36896122474145976,0.10000000000000142
PCHIP-1D,0.3087,27.2404,14.8,27.25012465944786,14.731069178524073,,,0.035699400331346,0.06893082147592722
PCHIP-2D,0.3172,27.1587,15.3,27.199689004905416,15.6,0.17285710948783714,1.0,0.15092403136165444,0.29999999999999893
Branch-interp,0.3172,27.1587,15.3,27.274946824031122,15.3,0.30232519665915003,1.0,0.42802793959624275,0.0
PCHIP-1D,0.3172,27.1587,15.3,27.160510488431484,15.267503902924387,,,0.006666329505766733,0.032496097075613406
PCHIP-2D,0.4017,27.7783,12.8,27.78398899210402,12.8,0.05156614872452238,1.0,0.02047998655072547,0.0
Branch-interp,0.4017,27.7783,12.8,27.81273158991713,12.8,0.12984051467415922,1.0,0.1239513934154779,0.0
PCHIP-1D,0.4017,27.7783,12.8,27.78264324492881,12.783402812485562,,,0.015635387798429434,0.016597187514438616
PCHIP-2D,0.4271,28.126399999999993,13.4,28.129151850991555,13.4,0.029724448898569185,1.0,0.009783872061697174,0.0
Branch-interp,0.4271,28.126399999999993,13.4,28.140548897633614,13.4,0.07898292520309987,1.0,0.05030468753064454,0.0
PCHIP-1D,0.4271,28.126399999999993,13.4,28.128657883881925,13.401841999287116,,,0.008027631982510108,0.0018419992871159252
PCHIP-2D,0.4863,29.35429999999999,14.6,29.3568227136355,14.5,0.07789363364422269,1.0,0.008594017351826189,0.09999999999999964
Branch-interp,0.4863,29.35429999999999,14.6,29.36186297010176,14.5,0.1322811173990818,1.0,0.025764436902830923,0.09999999999999964
PCHIP-1D,0.4863,29.35429999999999,14.6,29.35624365957152,14.5516919636902,,,0.006621379394244897,0.04830803630980007
PCHIP-2D,0.5116,29.9875,15.0,29.98672893271259,15.0,0.03440160356750507,1.0,0.002571295664555162,0.0
Branch-interp,0.5116,29.9875,15.0,29.990938835666043,14.9,0.08035713364483645,1.0,0.011467563705025441,0.09999999999999964
PCHIP-1D,0.5116,29.9875,15.0,29.986598639728918,14.908896866265405,,,0.0030057866480470707,0.09110313373459533
PCHIP-2D,0.537,30.655199999999997,15.3,30.657228855230475,15.3,0.1014273958375332,1.0,0.006618306944594643,0.0
Branch-interp,0.537,30.655199999999997,15.3,30.669235095983282,15.3,0.18340924917268853,1.0,0.04578373647303735,0.0
PCHIP-1D,0.537,30.655199999999997,15.3,30.656641669893414,15.3132295945492,,,0.004702855937699368,0.01322959454920003
PCHIP-2D,0.7167,31.5804,13.2,31.58302057905803,13.2,0.0293901673845431,1.0,0.008298118636962393,0.0
Branch-interp,0.7167,31.5804,13.2,31.601483988599625,13.2,0.07695941105659465,1.0,0.06676289280573844,0.0
PCHIP-1D,0.7167,31.5804,13.2,31.58130766397184,13.236060722750528,,,0.002874137033859192,0.03606072275052874
PCHIP-2D,0.7274,31.652200000000004,13.4,31.656862320660625,13.4,0.027400880007083257,1.0,0.01472984709001146,0.0
Branch-interp,0.7274,31.652200000000004,13.4,31.674351709286913,13.4,0.07715357315977016,1.0,0.06998473814430195,0.0
PCHIP-1D,0.7274,31.652200000000004,13.4,31.653513304284495,13.376093964196418,,,0.004149172204437335,0.023906035803582526
PCHIP-2D,0.7593,31.902099999999997,13.7,31.902478128482333,13.7,0.02696224627042808,1.0,0.0011852777163090522,0.0
Branch-interp,0.7593,31.902099999999997,13.7,31.911448801177066,13.7,0.046526787820217054,1.0,0.029304657615236707,0.0
PCHIP-1D,0.7593,31.902099999999997,13.7,31.901747934387238,13.749640739040005,,,0.0011035813089366187,0.04964073904000621
PCHIP-2D,0.7806,32.0927,14.0,32.09325829091626,14.0,0.03779768247895436,1.0,0.0017396196526409113,0.0
Branch-interp,0.7806,32.0927,14.0,32.11351312236761,14.0,0.07620129288139192,1.0,0.06485313597051068,0.0
PCHIP-1D,0.7806,32.0927,14.0,32.09429069458291,14.013536637869683,,,0.004956562030966616,0.013536637869682622
PCHIP-2D,0.8018,32.300900000000006,14.2,32.30367867230193,14.2,0.031020936203783708,1.0,0.008602460928086586,0.0
Branch-interp,0.8018,32.300900000000006,14.2,32.32047072564613,14.2,0.07066578506585311,1.0,0.06058879364390091,0.0
PCHIP-1D,0.8018,32.300900000000006,14.2,32.30177454969703,14.20385456864864,,,0.0027075087598804615,0.003854568648641532
PCHIP-2D,0.8231,32.524300000000004,14.4,32.52302700631891,14.4,0.011574130213371616,1.0,0.003913977183489514,0.0
Branch-interp,0.8231,32.524300000000004,14.4,32.53157186284108,14.4,0.04701828540239637,1.0,0.02235824549976506,0.0
PCHIP-1D,0.8231,32.524300000000004,14.4,32.52402560145611,14.400018124335116,,,0.0008436724046156918,1.8124335115388135e-05
PCHIP-2D,2.1204,50.67629999999998,16.7,50.66506533239298,16.7,0.05158922707585603,1.0,0.022169470949939818,0.0
Branch-interp,2.1204,50.67629999999998,16.7,50.617983581528684,16.7,0.18658328838548788,0.3890020366598778,0.11507631470983881,0.0
PCHIP-1D,2.1204,50.67629999999998,16.7,50.66472396499703,16.72100018126355,,,0.02284309431224152,0.021000181263548967
PCHIP-2D,2.5564,55.0525,16.4,55.05257771810135,16.4,0.000357626651378825,1.0,0.0001411708847820492,0.0
Branch-interp,2.5564,55.0525,16.4,55.05306765834519,16.4,0.034919003608361115,1.0,0.0010311218294978275,0.0
PCHIP-1D,2.5564,55.0525,16.4,55.05264625852203,16.4,,,0.00026567099047358766,0.0
PCHIP-2D,2.6096,55.52190000000002,16.4,55.52248435263967,16.4,0.0011479255055115583,1.0,0.0010524723391247548,0.0
Branch-interp,2.6096,55.52190000000002,16.4,55.52281883100757,16.4,0.03543529211916231,1.0,0.0016548983510222826,0.0
PCHIP-1D,2.6096,55.52190000000002,16.4,55.52248435263967,16.4,,,0.0010524723391247548,0.0
PCHIP-2D,2.6202,55.6143,16.4,55.614583834863204,16.4,0.0008978312663489432,1.0,0.0005103630958291916,0.0
Branch-interp,2.6202,55.6143,16.4,55.61492730709868,16.4,0.035040895719745814,1.0,0.0011279600726554762,0.0
PCHIP-1D,2.6202,55.6143,16.4,55.614583834863204,16.4,,,0.0005103630958291916,0.0
PCHIP-2D,3.7367,59.3921,18.6,59.3900719864588,18.6,0.0031755250580017386,1.0,0.003414618343511311,0.0
Branch-interp,3.7367,59.3921,18.6,59.381741680407586,18.6,0.03413965186930332,0.3890020366598778,0.017440568008897372,0.0
PCHIP-1D,3.7367,59.3921,18.6,59.3900719864588,18.6,,,0.003414618343511311,0.0
PCHIP-2D,4.949,61.45109999999998,18.6,61.45040888891291,18.6,0.0012242410719746567,1.0,0.0011246521007257648,0.0
Branch-interp,4.949,61.45109999999998,18.6,61.44708636997373,18.6,0.03222024441259932,0.3890020366598778,0.006531420961142231,0.0
PCHIP-1D,4.949,61.45109999999998,18.6,61.45040888891291,18.6,,,0.0011246521007257648,0.0
PCHIP-2D,6.3633,62.92680000000001,18.6,62.9256903033858,18.6,0.0018499003337838554,1.0,0.001763472183879955,0.0
Branch-interp,6.3633,62.92680000000001,18.6,62.92266955063973,18.6,0.03240975259125136,0.3890020366598778,0.006563895447209145,0.0
PCHIP-1D,6.3633,62.92680000000001,18.6,62.9256903033858,18.6,,,0.001763472183879955,0.0
PCHIP-2D,7.1714,63.5243,18.6,63.524226194742496,18.6,9.817705877998724e-05,1.0,0.00011618429089921278,0.0
Branch-interp,7.1714,63.5243,18.6,63.52346908496152,18.6,0.03220558571873591,0.3890020366598778,0.0013080270675591699,0.0
PCHIP-1D,7.1714,63.5243,18.6,63.524226194742496,18.6,,,0.00011618429089921278,0.0
PCHIP-2D,8.7878,64.406,18.6,64.4058639738475,18.6,0.0002484994704963267,1.0,0.00021120105658800625,0.0
Branch-interp,8.7878,64.406,18.6,64.40599921075808,18.6,0.032519857777640736,0.3890020366598778,1.2254167680580963e-06,0.0
PCHIP-1D,8.7878,64.406,18.6,64.4058639738475,18.6,,,0.00021120105658800625,0.0
