split,window_id,E,log10E,branch_local_id,center_pred_s,center_true_s,window_half_width,baseline_mae,baseline_rmse
train,354,0.0233,-1.632644,0,0.02,0.02,0.16,0.012131166,0.014546616
train,355,0.0233,-1.632644,1,0.05,0.03,0.16,0.01807414,0.020877466
train,356,0.0233,-1.632644,2,0.01,0.01,0.16,0.0053019933,0.007336236
train,357,0.0236,-1.627088,0,0.02,0.02,0.16,0.012369148,0.014900986
train,358,0.0236,-1.627088,1,0.04,0.01,0.16,0.027659642,0.03347793
train,359,0.0236,-1.627088,2,0.01,0.01,0.16,0.019126493,0.02254574
train,360,0.0242,-1.6161846,0,0.02,0.02,0.16,0.011107596,0.0132141225
train,361,0.0242,-1.6161846,1,0.04,0.03,0.16,0.0407709,0.048476905
train,362,0.0242,-1.6161846,2,0.01,0.02,0.16,0.025030846,0.03027989
train,363,0.0245,-1.6108339,0,0.02,0.02,0.16,0.0134547,0.01625141
train,364,0.0245,-1.6108339,1,0.04,0.04,0.16,0.037472498,0.045111794
train,365,0.0245,-1.6108339,2,0.01,0.02,0.16,0.028281864,0.034225836
train,366,0.0246,-1.6090649,0,0.02,0.02,0.16,0.013391152,0.016176395
train,367,0.0246,-1.6090649,1,0.02,0.01,0.16,0.026130984,0.0319612
train,368,0.0246,-1.6090649,2,0.01,0.02,0.16,0.027349742,0.03288106
train,369,0.0248,-1.6055483,0,0.02,0.02,0.16,0.013347804,0.01612616
train,370,0.0248,-1.6055483,1,0.04,0.01,0.16,0.015444545,0.020548094
train,371,0.0248,-1.6055483,2,0.01,0.02,0.16,0.018022938,0.022140536
train,372,0.025,-1.60206,0,0.02,0.02,0.16,0.011657429,0.013848324
train,373,0.025,-1.60206,1,0.05,0.04,0.16,0.028216323,0.032835428
train,374,0.025,-1.60206,2,0.01,0.02,0.16,0.010509698,0.0120856445
train,375,0.0252,-1.5985994,0,0.02,0.02,0.16,0.012426731,0.014881337
train,376,0.0252,-1.5985994,1,0.04,0.04,0.16,0.031036185,0.036587555
