E,Ta_c_true,k_c_true,Ta_c_base,k_c_base,curve_base,Ta_c_marl,k_c_marl,curve_marl
0.1,29.2274,6.4,30.142094,5.56,2.8018252309351617,30.142093615206285,5.56,2.8275428259281297
0.1041,28.8085,6.6,29.287561,9.17,4.081364985041141,29.287561954204214,9.17,4.185064994772735
0.1082,28.3133,15.6,28.690395,11.64,3.2120168189852047,28.690396705490034,11.64,3.2900160106686034
0.149,27.7785,16.3,28.261879,15.82,4.511205347462631,28.26188042942178,15.82,4.396223303440934
0.1857,28.782,16.3,29.272854,16.200000000000003,1.4661741131009909,29.272854711340667,16.200000000000003,1.5970322260602972
0.2388,26.9518,16.5,27.074556,15.82,1.1524307179989823,27.074556408483737,15.82,1.2866261475586884
0.3003,27.3752,14.2,27.693703,15.06,1.0930143113996218,27.693703299843673,15.06,1.2046099194895004
0.3087,27.2404,14.8,27.667685,16.01,1.131064353679507,27.667684380168275,16.01,1.199357968818165
0.3172,27.1587,15.3,27.551437,16.580000000000002,1.1826463415036956,27.5514378670429,16.580000000000002,1.1078717183701345
0.4017,27.7783,12.8,28.456669,15.25,1.8094589459725998,28.456669361125208,15.25,1.9460211267849221
0.4271,28.1264,13.4,28.879648,14.3,1.7513935293956882,28.879648715895662,14.3,1.8048690958816123
0.4863,29.3543,14.6,30.067762,15.44,1.4842469574491468,30.06776286888363,15.44,1.4132127234041325
0.5116,29.9875,15.0,30.717548,15.25,1.550553711548928,30.717548862699285,15.25,1.5141220282734074
0.537,30.6552,15.3,31.422297,16.01,2.1500711235099152,31.422296113860945,16.01,2.074158497183866
0.7167,31.5804,13.2,32.526443,14.3,1.9900072066017915,32.5264443601709,14.3,2.1321043859441002
0.7274,31.6522,13.4,32.72534,14.489999999999998,1.9632123473804153,32.72534170822173,14.489999999999998,2.135879318107702
0.7593,31.9021,13.7,33.09521,14.3,1.911943358034159,33.09521063290488,14.3,2.079726535527265
0.7806,32.0927,14.0,33.265392,14.68,1.9929675233766577,33.26539266064838,14.68,2.1001531987065234
0.8018,32.3009,14.2,33.481514,14.87,2.0500197850489235,33.48151345669794,14.87,2.054905251488322
0.8231,32.5243,14.4,33.737926,14.68,2.148856197087133,33.73792426262463,14.68,2.0599499994457506
2.1204,50.6763,16.7,51.73991,14.489999999999998,3.0951937825987654,51.73990851475037,14.489999999999998,3.0187135040319673
2.5564,55.0525,16.4,55.88897,14.68,1.4043479937492458,55.888967669317665,14.68,1.546454105169177
2.6096,55.5219,16.4,56.240776,16.39,1.2869762617265872,56.24077443112773,16.39,1.3836227413635644
2.6202,55.6143,16.4,56.298687,16.39,1.2710388690106162,56.29868663845525,16.39,1.3656303229400184
3.7367,59.3921,18.6,60.57913,16.39,0.9791628216435523,60.57913087258185,16.39,1.060097712449027
4.949,61.4511,18.6,62.993233,16.01,1.2024911787547232,62.99323253732763,16.01,1.1335314218925978
6.3633,62.9268,18.6,64.18731,14.3,1.341182936039509,64.18731350372927,14.3,1.222821577729247
7.1714,63.5243,18.6,64.73613,14.489999999999998,1.0188263617522284,64.73612704524488,14.489999999999998,1.028149923349877
8.7878,64.406,18.6,65.864265,14.489999999999998,1.36170537637854,65.86426826723634,14.489999999999998,1.2899864568139419
