E,split,Ta_c_true,k_c_true,Ta_c_pred,k_c_pred,curve_MAPE,Ta_c_old,k_c_old,Ta_c_pchip,k_c_pchip
0.006,train,152.6311,4.6,153.91373,4.172108260764834,0.5411830171532787,154.11573791503906,4.53600025177002,152.6311,4.6
0.0061,val,152.3685,4.6,153.48212,4.172307368420357,0.6523281116418821,153.8862762451172,4.483999729156494,152.35533244414518,4.6
0.0062,train,152.1093,4.6,153.33978,4.132826542852827,0.4738551566368765,153.64181518554688,4.457200050354004,152.10929999999996,4.6
0.0063,train,151.8534,4.6,153.19229,4.149000000000001,0.6197147430757589,153.41995239257812,4.405599594116211,151.85340000000002,4.6
0.0064,val,151.6005,4.6,152.91125,4.258691414039227,0.5884200209112499,153.1483917236328,4.405599594116211,151.63901462064558,4.6
0.0065,train,151.3505,4.6,152.30658,4.234,0.5540995870376169,152.84329223632812,4.457200050354004,151.3505,4.6
0.0066,test,151.097,4.5,150.95363,9.378674229958964,0.9106734451112752,152.05294799804688,9.583999633789062,150.50936916708454,7.178977827137986
0.0067,train,149.3567,9.7,149.35536,9.306475402757188,0.9512056856588832,149.84466552734375,9.583999633789062,149.3566999999999,9.7
0.0068,train,148.2751,9.7,152.21094,9.93,1.971158807671891,148.79696655273438,9.75,148.27510000000007,9.7
0.0069,train,147.2074,9.6,150.35071,9.93,1.5694901982894514,150.23001098632812,9.739999771118164,147.20740000000004,9.6
0.007,train,146.1565,9.6,149.7986,9.93,1.5318678727006545,148.7455291748047,10.196000099182127,146.15649999999997,9.6
0.0071,test,145.1238,9.6,148.45079,9.93,1.4356766424291094,147.6212921142578,9.359999656677246,145.06924598792682,9.6
0.0074,train,141.8222,9.6,145.05219,10.12,1.3482722315282043,144.47486877441406,9.359999656677246,141.82220000000007,9.6
0.0076,train,139.7771,9.6,142.74426,10.12,1.454637235347778,142.8150634765625,10.196000099182127,139.77709999999996,9.6
0.0077,train,138.7142,9.6,142.70058,10.12,1.6406673752522176,141.94053649902344,10.272000312805176,138.71419999999995,9.6
0.008,train,135.7992,9.6,142.01582,9.93,2.283517362847139,139.6126708984375,9.83199977874756,135.79919999999996,9.6
0.0081,val,134.4992,9.6,137.08669,8.68,5.110313470253913,138.00201416015625,9.887200355529783,134.8595174534172,9.6
0.0083,val,133.0721,9.6,130.51247,9.243,2.324894094359101,137.57223510742188,9.128000259399414,133.01347552333164,9.6
0.0086,train,130.5149,9.6,129.93059,9.32,0.8570536869442672,130.99725341796875,9.650400161743164,130.5149,9.6
0.0087,train,129.8109,9.6,130.22607,10.019000000000002,0.9421153904786382,130.26455688476562,9.51200008392334,129.81089999999998,9.6
0.0089,val,128.0901,9.5,129.3917,9.896,2.268925890872614,128.5645751953125,9.47599983215332,128.21362418301717,9.563828243509118
0.0092,train,125.7582,9.5,134.0441,11.804966794334012,3.80786130896822,126.80945587158205,9.811200141906738,125.75820000000004,9.5
0.0095,train,123.492,9.5,123.308525,9.065,0.862514369629523,124.61835479736328,9.569600105285645,123.49200000000002,9.5
0.0097,test,121.2745,9.5,120.03317,9.422,2.533059555069745,121.8520736694336,9.569600105285645,121.7288112812311,9.5
0.01,train,119.1002,9.5,118.91751,9.333794274934222,0.6473156052891001,119.570068359375,9.569600105285645,119.10019999999997,9.5
0.0103,test,116.9699,9.5,116.496704,9.332414514110662,0.5040885971137091,117.43949127197266,9.569600105285645,117.06282548330216,9.5
0.0106,val,114.8872,9.5,114.610565,9.364869626137452,0.4357741193697281,115.4081573486328,9.654399871826172,115.18235028874317,9.5
0.0108,train,113.7522,9.5,113.30568,9.37669539998046,0.5408536557714667,114.35399627685548,9.654399871826172,113.75220000000003,9.5
0.0109,train,112.8562,9.5,113.683334,9.264,0.878064450033701,113.45921325683594,9.654399871826172,112.85619999999999,9.5
0.0112,train,110.8813,9.5,110.31151,9.352,1.3993421620074356,111.39234924316406,9.593999862670898,110.88129999999997,9.5
0.0113,train,110.1599,9.5,110.37343,9.352,0.8966315260268521,110.64118957519533,9.593999862670898,110.15990000000002,9.5
0.0115,train,108.9665,9.5,108.97604,9.508253292086378,0.8791450503338403,109.40187072753906,9.593999862670898,108.96649999999997,9.5
0.0118,train,107.1094,9.6,106.773926,9.681093338144596,1.1773695599007656,107.53350067138672,9.68000030517578,107.1094,9.6
0.0119,test,106.7607,9.6,106.1698,9.708907232670546,1.346362062953638,107.20368194580078,9.68000030517578,106.50180778893547,9.6
0.0121,train,105.3043,9.6,106.859436,9.68,1.6883818497576122,105.80917358398438,9.766000747680664,105.30430000000004,9.6
0.0124,test,103.5658,9.6,105.2375,10.123,2.2858280662364403,106.8516845703125,9.588000297546388,103.55942454789215,9.614215472059644
0.0127,test,101.88,9.7,103.90312,9.93,3.656513236989855,104.44685363769533,10.196000099182127,101.87615898235073,9.650448696495095
0.0129,val,100.71,9.7,103.75768,9.93,2.552971325671344,103.29137420654295,10.119999885559082,100.7868698179558,9.682493202391292
0.013,train,100.2518,9.7,102.263626,9.93,2.856096462432607,102.83917236328124,10.119999885559082,100.25179999999996,9.7
0.0133,train,98.6794,9.8,102.850685,9.93,2.087992859767391,101.43862915039062,10.119999885559082,98.6794,9.8
0.0135,train,97.7397,9.8,98.88255,9.936,0.8381480501255294,101.71209716796876,10.196000099182127,97.7397,9.8
0.0136,train,97.1571,9.8,101.85308,9.93,2.585692632524484,98.06941986083984,9.663999557495115,97.1571,9.8
0.0139,train,95.6858,9.9,96.43139,10.652,1.0332961268048098,97.0405044555664,10.015999794006348,95.68580000000001,9.9
0.014,train,94.9523,9.9,97.1966,9.86,1.9651431301485012,95.96794891357422,10.196000099182127,94.95229999999998,9.9
0.0142,train,94.2633,9.9,95.08249,9.626,0.998050990576544,94.74771881103516,10.059200286865234,94.2633,9.9
0.0145,train,92.8811,10.0,100.39688,11.384052595971925,2.3811247235507693,93.18085479736328,9.833999633789062,92.88109999999999,10.0
0.0146,val,92.3316,10.0,94.01943,10.023,1.1764359417268162,92.64305114746094,9.833999633789062,92.3605450441163,10.0269095382033
0.0147,val,91.5517,10.1,93.79178,10.338,1.578164419119928,91.8943862915039,9.934000015258787,91.80355514889041,10.053879130155883
0.015,train,90.2484,10.1,90.337326,10.271619468025753,0.5444851906774479,91.12371826171876,10.207200050354004,90.24840000000002,10.1
0.0151,train,89.8626,10.1,91.95468,9.986,0.9463084696478716,90.4211883544922,10.38479995727539,89.86260000000001,10.1
0.0153,train,88.9919,10.2,88.67943,9.973976853925835,0.4224246342991805,89.36964416503906,10.06999969482422,88.99189999999999,10.2
0.0156,test,87.7727,10.2,87.26872,10.105822814815063,0.4030229894304263,88.01976776123047,10.170000076293944,87.91893543621974,10.290977301004713
0.0157,train,87.5309,10.3,86.77287,10.161995808165324,0.488702473655521,87.76217651367188,10.206000328063965,87.53090000000002,10.3
0.0159,train,86.581,10.3,86.03569,10.219753958027058,0.3784155724907351,86.80162811279297,10.306000709533691,86.581,10.3
0.0162,train,85.4288,10.4,85.08985,10.314231965207814,0.4192529151323059,85.69144439697266,10.406000137329102,85.42879999999998,10.4
0.0163,train,85.313,10.4,84.9521,10.339,0.3425926924564835,85.62191009521484,10.406000137329102,85.31300000000002,10.4
0.0165,val,84.3083,10.4,85.10708,10.339,1.3624120746325448,84.97564697265625,10.2760009765625,84.63362928520388,10.423185150319831
0.0168,train,83.2105,10.5,81.89423,10.684,1.3467903191743558,83.7076187133789,10.51200008392334,83.21050000000001,10.5
0.0171,train,82.1466,10.6,83.103676,10.512,1.5658276940224425,82.66657257080078,10.684000015258787,82.1466,10.6
0.0174,test,81.1148,10.7,79.57401,10.664,1.425199408109598,82.12611389160156,11.185999870300291,81.13758923453902,10.646797552694107
0.0177,train,80.1017,10.7,78.908875,10.792,1.1100597048380725,80.37153625488281,10.663999557495115,80.10170000000001,10.7
0.0179,train,79.3156,10.8,78.91845,10.797706124457688,0.5650997556980633,79.55491638183594,10.791999816894531,79.31559999999999,10.8
0.018,train,79.1151,10.8,78.464264,10.860565631725432,0.4435264391343526,79.36830139160156,10.738000869750977,79.1151,10.8
0.0183,train,78.1569,10.9,77.61811,10.907391743526524,0.411471922860947,78.37738800048828,10.786800384521484,78.1569,10.9
0.0185,val,77.5114,10.9,76.97134,11.039079185330309,0.4886199366439182,77.73473358154297,10.861599922180176,77.53325242130073,10.936168412416556
0.0186,test,77.2257,11.0,76.68322,11.08920972987445,0.5425527829417863,77.46369934082031,10.913599967956545,77.22580609774249,10.94996063420308
0.0189,train,76.318,11.0,76.859604,11.024,1.488044613852911,77.08287048339844,11.03640079498291,76.31800000000001,11.0
0.019,test,75.7865,11.1,75.84467,11.238,0.5572774010659199,77.04440307617188,11.968000411987305,76.02256064462587,11.027337310409928
0.0192,train,75.4286,11.1,75.995415,11.238,0.6756578674656059,76.91842651367188,10.52720069885254,75.42859999999999,11.1
0.0195,test,74.5646,11.2,75.01242,11.327,0.9427295899345024,75.07137298583984,10.827199935913086,74.43860035580188,11.276437884292262
0.0196,train,74.1567,11.3,74.15132,11.327,0.768430980655423,74.58963775634766,11.003600120544434,74.15669999999999,11.3
0.0198,train,73.7258,11.3,73.49963,11.474,0.6084777963817807,74.05276489257812,11.473999977111816,73.7258,11.3
0.02,train,72.9114,11.4,72.84488,11.488716792829582,0.8531094590944326,73.21830749511719,11.473999977111816,72.9114,11.4
0.0202,val,72.6077,11.4,71.99005,11.493524444352232,0.6159369419046766,72.9616928100586,11.239999771118164,72.31439548338348,11.489141439204005
0.0203,test,72.1216,11.5,71.73002,11.50321429351504,0.6936076008027338,72.53713989257812,11.239999771118164,72.05506018717661,11.531601844684735
0.0206,train,71.3564,11.6,71.04788,11.523835448514866,0.5885922706676108,72.02918243408203,11.70720100402832,71.35639999999998,11.6
0.0207,train,71.1462,11.6,70.800705,11.532,0.5383118164185449,72.0207748413086,11.824000358581545,71.14620000000001,11.6
0.0209,train,70.6167,11.7,71.013336,11.386,0.6294903785281333,72.12307739257812,11.415200233459473,70.61669999999998,11.7
