E,branch_local_id,n_points,n_points_branch_meta,k_left,k_right,width_k,k_min,Ta_min,Ta_max,Ta_mean,Ta_std,amplitude,Ta_left,Ta_right,left_width,right_width,left_rise,right_rise,width_asymmetry,rise_asymmetry,slope_left_local,slope_right_local,global_slope,mean_abs_slope,max_abs_slope,mean_curvature,mean_abs_curvature,curvature_at_min,convexity_ratio,area_above_min,roughness_rmse,arc_length,normalized_arc_length,has_switch_left,has_switch_right
0.0021,1,83,,11.8,20.0,8.2,12.6,269.0827,342.3348,302.2451626506025,22.948594355907257,73.25209999999998,284.1786,342.3348,0.7999999999999989,7.4,15.095900000000029,73.25209999999998,0.8048780487804881,0.7939185361238786,-3.7523000000000155,1.7704999999999065,8.964861991520092,16.418349397590482,124.03050000000485,10.201204819277232,44.11807228915696,17.994999999999727,0.40788273526679936,270.8310400000001,14.377214036592951,146.65048719149738,17.884205755060655,,
0.0022,0,104,,1.0,11.3,10.3,4.9,168.981,499.4969,219.32877596153847,60.541460483899435,330.5159,499.4969,288.3112,3.9000000000000004,6.4,330.5159,119.33019999999999,0.24271844660194172,-0.6389577626976494,-2.0928999999998608,1.070100000000119,-4.023567379707663,45.78687019230766,434.0799999999992,53.032908653845865,53.032908653845865,10.527500000001158,0.19850881777418256,501.12456500000013,190.9019876798851,450.389948239071,43.7271794406865,,
0.0022,1,88,,11.3,20.0,8.7,12.4,263.5151,336.9548,296.39507159090914,22.41224147270125,73.43969999999996,288.3112,336.9548,1.0999999999999996,7.6,24.796099999999967,73.43969999999996,0.7471264367816093,0.6623610935229858,-3.895900000000301,1.475199999999616,7.904587712655417,19.897920454545332,138.12200000000067,-20.46809659091001,94.04508522727336,17.51749999999908,0.18626704370213015,284.43195999999983,19.93344453098898,195.80455578282357,22.506270779634896,,
0.0023,0,102,,1.0,11.1,10.1,4.9,168.436,497.458,218.0249950980392,60.575691464177375,329.02200000000005,497.458,285.0311,3.9000000000000004,6.199999999999999,329.02200000000005,116.59509999999997,0.22772277227722762,-0.6456312951717516,-2.0348999999998236,1.119999999999985,-4.626333619826867,46.27696568627452,432.2659999999998,54.25127450980388,54.25127450980388,10.502500000000042,0.19358992198611133,483.52689499999997,189.26768747623763,446.15097572267973,44.17336393293859,,
0.0023,1,90,,11.1,20.0,8.9,12.3,258.2798,331.7251,291.0511044444445,22.324790252890075,73.44529999999997,285.0311,331.7251,1.200000000000001,7.699999999999999,26.751299999999958,73.44529999999997,0.7303370786516852,0.6357656650595754,-2.2240999999996367,2.2854000000001617,7.664460715314647,19.357838888889017,144.22300000000058,-22.01283333333312,93.1122222222221,14.769999999998518,0.1586257920549717,289.9319099999998,21.01444630911558,197.05128259989175,22.140593550549635,,
0.0024,0,103,,1.0,11.2,10.2,4.9,167.9012,495.4428,218.8540922330097,61.02581813611731,327.5416,495.4428,268.6871,3.9000000000000004,6.299999999999999,327.5416,100.7859,0.2352941176470587,-0.6922958793631099,-1.9753000000000616,1.171000000000039,-3.630542261564827,51.56781067961168,430.4709999999996,-3.6818932038839467,114.44834951456357,10.472500000000185,0.09150415925104763,503.398415,182.49338831855212,502.46472655171027,49.26124770114807,,
0.0024,1,89,,11.2,20.0,8.8,12.1,253.3687,326.6326,285.90245056179776,22.473674803495896,73.26390000000004,268.6871,326.6326,0.9000000000000004,7.9,15.318399999999997,73.26390000000004,0.7954545454545454,0.7909147615674297,-2.9096000000002324,1.693599999999765,8.183531290432416,16.128365168539208,130.23749999999586,8.75780898876492,50.874325842696074,15.080000000001572,0.2964167043044282,285.1212650000001,14.770588137266849,156.04347444863288,17.73221300552646,,
0.0025,0,102,,1.0,11.1,10.1,4.9,167.3762,493.451,218.65812745098032,61.76969466170627,326.0748,493.451,259.8991,3.9000000000000004,6.199999999999999,326.0748,92.52289999999996,0.22772277227722762,-0.7162525285609315,-1.914899999999855,1.2240999999998967,-3.489382282260217,58.57184313725493,723.9190000000028,-50.66088235294201,176.294607843138,10.44999999999901,0.05927577778951201,502.14577499999984,178.94522580010837,563.8983837185932,55.83152314045478,,
0.0025,1,90,,11.1,20.0,8.9,12.0,248.7479,321.6732,281.0709644444444,22.26849032890451,72.92530000000002,259.8991,321.6732,0.9000000000000004,8.0,11.151199999999989,72.92530000000002,0.797752808988764,0.8470873619991967,-1.9398000000001727,2.1495999999998787,8.053220414042887,15.340944444444402,126.11799999999812,6.366611111110094,47.535999999999504,13.43999999999942,0.2827330865028517,286.70375500000006,12.684948307978182,151.6410508801163,17.038320323608573,,
0.0026,0,100,,1.0,10.9,9.9,4.9,166.8611,491.4819,217.190816,61.468156680811106,324.62080000000003,491.4819,257.4975,3.9000000000000004,6.0,324.62080000000003,90.63640000000001,0.21212121212121207,-0.7207929990930957,-1.8532999999999387,1.278400000000234,-4.220808604860511,57.20736500000009,626.0430000000025,-38.98657499999948,162.72322499999945,10.425000000000738,0.06406583940307706,482.53430000000026,177.52005145989577,540.9748295081379,54.64392217253918,,
0.0026,1,92,,10.9,20.0,9.1,11.8,244.3822,316.8432,276.36413260869574,22.09254639942832,72.46100000000001,257.4975,316.8432,0.9000000000000004,8.2,13.11529999999999,72.46100000000001,0.8021978021978021,0.8190019458743326,-2.9481999999999897,1.3627999999996419,7.78113191436894,14.454000000000095,119.64200000000483,6.908586956521892,36.04375000000038,14.147499999999033,0.3925091035199968,289.9549649999998,13.74933047516258,143.48697531860154,15.767799485560609,,
0.0027,0,98,,1.0,10.7,9.7,4.9,166.3556,489.5351,215.6882887755102,61.13337152631503,323.17949999999996,489.5351,256.2731,3.9000000000000004,5.799999999999999,323.17949999999996,89.91749999999999,0.19587628865979367,-0.7217722658770126,-1.7909999999999462,1.3344000000001506,-5.0304884124221445,54.76129081632656,468.90400000000164,-18.361096938776097,137.60686224489845,10.404999999999507,0.07561396161683975,462.8054999999998,176.48146592941356,507.37971076564486,52.30718667687061,,
0.0027,1,94,,10.7,20.0,9.3,11.7,240.2386,312.1401,272.0038180851064,21.976020041544714,71.90150000000003,256.2731,312.1401,1.0,8.3,16.03450000000001,71.90150000000003,0.7849462365591398,0.7769935258652462,-2.3638000000000137,1.6018999999999044,7.5238505292056495,15.27979255319155,134.66000000000508,7.9144414893618436,46.7038563829789,13.047499999998937,0.2793666521455403,294.1962500000001,15.23187040576459,153.81129754521078,16.53884919840976,,
0.0028,0,95,,1.0,10.4,9.4,4.9,165.3732,485.7058,213.7433842105263,61.1099401670608,320.3326,485.7058,249.9643,3.9000000000000004,5.5,320.3326,84.59110000000001,0.17021276595744678,-0.7359272830801485,-1.6619999999998494,1.4510000000001024,-5.980823908174695,55.50929473684217,459.9890000000013,-17.810368421052164,139.3000526315784,10.362499999999944,0.0743897780671106,439.27056500000003,173.06786994535193,497.41157344715606,52.91612483480383,,
0.0028,1,97,,10.4,20.0,9.6,11.5,232.585,303.1052,263.70088453608247,21.53676070514765,70.52020000000002,249.9643,303.1052,1.0999999999999996,8.5,17.3793,70.52020000000002,0.7708333333333334,0.7535557187869576,-1.7544999999997624,1.77149999999971,7.111002629917952,14.854247422680336,134.86749999999597,7.854484536082315,44.8597938144333,11.624999999999133,0.25914073631472817,297.42910499999994,15.860648540883831,153.24258782071266,15.962769564657568,,
0.0029,0,94,,1.0,10.3,9.3,4.9,164.896,483.8224,213.29700638297874,61.38027437724704,318.92640000000006,483.8224,244.5659,3.9000000000000004,5.4,318.92640000000006,79.66990000000001,0.16129032258064516,-0.7501934615635457,-1.5959999999999124,1.5120000000000164,-6.073793736228029,58.99573404255304,615.840999999991,-40.328776595742944,168.98186170212597,10.345000000000358,0.061219588278865596,435.0396450000002,170.61502814372406,522.2498692968692,56.15589992439453,,
